25;"How has the Food and Drug Administration evolved since its creation?
";<pad>The FDA has grown from a small agency to a large one with a staff of
;Question;Response
0;"How did physical geography impact industrial growth?
";The geography of the United States has a great impact on the development of industry.
1;"How did tycoons inﬂuence the growth of corporations?
";tycoons influenced the growth of corporations
2;"How did inventions impact demands for labor?
";inventions increased the demand for labor
3;"How did the government interact with big business?
";The government regulated big business.
4;"How did urban development change the landscape of America?
";urbanization
5;"How did race, gender and social status aﬀect American politics?
";<pad>The political system in the United States is based on the principle of a republic, with
6;"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?
";The United States had a large population and a large land mass.
7;"How does Andrew Carnegie view the role of the wealthy?
";wealthy should use their wealth to help the poor
8;"How does Andrew Carnegie view charity?
";a way to help people
9;"What part of the American identity does Carnegie emphasize in this document?
";American Exceptionalism
10;"How does this document reﬂect the ""Forty-Millionaire Carnegie in his Great Double Role"" political cartoon?
";The cartoon is a satire of the Carnegie's wealth and power.
11;"How does the population growth in Detroit reﬂect the growth of the Auto Industry?
";Detroit's population grew by a third between 1950 and 1970
12;"How did labor change and stay the same from pre- Industrial Revolution to during the Industrial Revolution?
";The work force was divided into two categories, skilled and unskilled.
13;"What inventions greatly changed how Americans work?
";phonograph and telephone
14;"To what extent did labor beneﬁt from the Industrial Revolution?
";a great deal
15;"To what extent did government interact with the economy?
";to a large extent
16;"The Cross of Gold Speech Check out an excerpt of the “Cross of Gold Speech” here! What grievances does William Jennings Bryan address in this speech?
";the monopoly of the railroads
17;"How does he compare farmers to those on the Atlantic Coast?
";the Atlantic Coast
18;"How does this speech represent the goals of the Populist Party?
";Populists want to make the government more accountable to the people.
